code,venue_count,categories,in_ap_continent,in_base_prices,in_airport_city,continent,city
HRI,2,"fishing,surfing",NO,NO,NO,MISSING,MISSING
ZIH,2,"kite,surfing",YES,NO,NO,na,MISSING
STI,2,"kite,surfing",NO,NO,NO,MISSING,MISSING
SUV,2,"diving,surfing",NO,NO,NO,MISSING,MISSING
APW,2,"surfing,tanning",NO,NO,YES,MISSING,Apia
PTP,2,"kayak,tanning",NO,NO,NO,MISSING,MISSING
AZS,2,"diving,tanning",NO,NO,NO,MISSING,MISSING
BON,2,"diving,tanning",NO,NO,NO,MISSING,MISSING
VQS,2,"kayak,tanning",NO,NO,NO,MISSING,MISSING
GGT,2,"kayak,tanning",NO,NO,NO,MISSING,MISSING
KIN,2,"paraglide,tanning",NO,NO,NO,MISSING,MISSING
LRV,2,"kite,tanning",NO,NO,NO,MISSING,MISSING
SLZ,2,"kite,tanning",NO,NO,NO,MISSING,MISSING
CTA,2,"paraglide,tanning",NO,NO,NO,MISSING,MISSING
TLE,2,"kite,tanning",NO,NO,NO,MISSING,MISSING
BKK,2,"kayak,tanning",NO,NO,YES,MISSING,Bangkok
VCS,2,"diving,tanning",NO,NO,NO,MISSING,MISSING
TVU,2,"diving,tanning",NO,NO,NO,MISSING,MISSING
JAX,2,"kite,tanning",NO,NO,YES,MISSING,Jacksonville
DSS,2,"fishing,tanning",NO,NO,YES,MISSING,Dakar
TBP,2,"fishing,tanning",NO,NO,NO,MISSING,MISSING
TBU,2,"diving,fishing",NO,NO,NO,MISSING,MISSING
MLA,2,diving,NO,NO,NO,MISSING,MISSING
TER,2,"diving,paraglide",NO,NO,NO,MISSING,MISSING
JIB,2,"diving,fishing",NO,NO,NO,MISSING,MISSING
SZS,2,"diving,kayak",NO,NO,NO,MISSING,MISSING
TKK,2,"diving,fishing",NO,NO,NO,MISSING,MISSING
MAJ,2,"diving,fishing",NO,NO,NO,MISSING,MISSING
AMQ,2,diving,NO,NO,NO,MISSING,MISSING
KNG,2,diving,NO,NO,NO,MISSING,MISSING
AQJ,2,"climbing,diving",NO,NO,NO,MISSING,MISSING
PMA,2,"diving,fishing",NO,NO,NO,MISSING,MISSING
BFS,2,"climbing,diving",NO,NO,YES,MISSING,Belfast
GRO,2,"diving,kite",NO,NO,NO,MISSING,MISSING
WRE,2,"diving,kite",NO,NO,NO,MISSING,MISSING
HKG,2,"diving,kayak",NO,NO,NO,MISSING,MISSING
BDA,2,diving,NO,NO,NO,MISSING,MISSING
NDA,2,diving,NO,NO,NO,MISSING,MISSING
KLO,2,"diving,kite",NO,NO,NO,MISSING,MISSING
DUB,2,"diving,mtb",NO,NO,YES,MISSING,Dublin
GAN,2,"diving,paraglide",NO,NO,NO,MISSING,MISSING
ELP,2,"climbing,hiking",NO,NO,NO,MISSING,MISSING
FTE,2,climbing,NO,NO,NO,MISSING,MISSING
KWL,2,"climbing,kayak",NO,NO,NO,MISSING,MISSING
ICN,2,"climbing,hiking",NO,NO,NO,MISSING,MISSING
KUU,2,"climbing,paraglide",NO,NO,NO,MISSING,MISSING
MXP,2,"climbing,kayak",NO,NO,NO,MISSING,MISSING
MSN,2,climbing,NO,NO,NO,MISSING,MISSING
